entity,literal_properties,inforank
List_of_Doraemon_episodes_(1979_anime),3861,0.000043367827
"Constituency_election_results_in_the_United_Kingdom_general_election,_1929",3295,0.000037010357
List_of_Chopped_episodes,3236,0.000036347653
List_of_Advanced_Dungeons_&_Dragons_2nd_edition_monsters,3234,0.000036325188
List_of_Intel_Xeon_microprocessors,2820,0.000031675025
List_of_Horizon_episodes,2793,0.000031371754
List_of_Gunsmoke_television_episodes,2779,0.000031214502
List_of_law_clerks_of_the_Supreme_Court_of_the_United_States,2587,0.000029057904
List_of_Humble_Bundles,2552,0.000028664775
2014–15_UEFA_Youth_League_squads,2507,0.000028159322
List_of_Sooty_Show_episodes,2427,0.000027260740
List_of_Nova_episodes,2396,0.000026912539
List_of_Prisoner_episodes,2324,0.000026103815
List_of_Maryland_state_highways,2308,0.000025924099
List_of_public_art_in_Israel,2142,0.000024059540
List_of_colors_(compact),2136,0.000023992147
2011_County_Championship,2108,0.000023677643
2015_County_Championship,2106,0.000023655178
List_of_State_Routes_in_Ohio,2102,0.000023610249
"Results_of_the_Queensland_state_election,_2015",2100,0.000023587785
List_of_licensed_and_localized_editions_of_Monopoly:_Europe,2090,0.000023475462
Grade_I_listed_buildings_in_Wiltshire,2071,0.000023262049
2002_County_Championship,2065,0.000023194655
2014_County_Championship,2057,0.000023104797
Grade_II*_listed_buildings_in_West_Sussex,2029,0.000022790293
Grade_II*_listed_buildings_in_Wiltshire_(A–G),2014,0.000022621809
2013_County_Championship,1966,0.000022082659
Grade_II*_listed_buildings_in_Powys,1961,0.000022026498
"National_Register_of_Historic_Places_listings_in_Los_Angeles,_California",1951,0.000021914175
Grade_II*_listed_buildings_in_Northumberland,1940,0.000021790620
Grade_I_listed_buildings_in_Essex,1906,0.000021408723
List_of_Hamtaro_episodes,1901,0.000021352561
Grade_II*_listed_buildings_in_Lancashire,1888,0.000021206542
List_of_historic_places_in_Saskatchewan,1865,0.000020948199
List_of_The_Woodwright's_Shop_episodes,1858,0.000020869573
"National_Register_of_Historic_Places_listings_in_Worcester_County,_Massachusetts",1841,0.000020678625
"List_of_listed_buildings_in_Stirling,_Stirling",1840,0.000020667392
"Glasgow_City_Council_election,_2012",1810,0.000020330424
"National_Register_of_Historic_Places_listings_in_Harris_County,_Texas",1804,0.000020263030
List_of_historic_places_in_Alberta,1802,0.000020240566
"National_Register_of_Historic_Places_listings_in_Southwest_Portland,_Oregon",1790,0.000020105778
Grade_II*_listed_buildings_in_West_Dorset,1788,0.000020083314
Grade_II*_listed_buildings_in_Cornwall_(A–G),1779,0.000019982223
"National_Register_of_Historic_Places_listings_in_Cleveland,_Ohio",1755,0.000019712649
List_of_Inner_Sanctum_episodes,1755,0.000019712649
Grade_I_listed_buildings_in_Dorset,1712,0.000019229661
Grade_II*_listed_buildings_in_Greater_Manchester,1702,0.000019117338
List_of_Harvard_University_people,1686,0.000018937621
Grade_II*_listed_buildings_in_County_Durham,1681,0.000018881460
Political_abuse_of_psychiatry_in_the_Soviet_Union,1679,0.000018858996
