class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Thing,16.062858,7.659705,142007744,18994479,50589
Agent,14.982769,6.185937,62247295,9139464,23503
Agent,14.982769,6.185937,62247295,9139464,23503
Person,14.491526,5.670031,52022691,7241895,12370
NaturalPerson,14.491526,5.670031,52022691,7241895,12370
Person,14.491526,5.670031,52022691,7241895,12370
Q215627,14.491526,5.670031,52022691,7241895,12370
Person,14.491526,5.670031,52022691,7241895,12370
