class,predicate,ent_etimp,entf_bits,etimp
Person,name,247.513434,20.705696,422790.8713
Person,label,241.692884,20.276421,409337.5263
Person,dateOfBirth,216.414838,15.048103,643728.7471
Person,birthPlace,204.901059,12.796924,841124.0662
Person,birthPlace,194.142704,11.943045,833948.1940
Person,description,178.157467,12.656964,496852.4626
Person,shortDescription,178.024979,12.638219,497583.7403
Person,birthYear,131.655351,7.804814,631926.3150
Person,name,123.763184,20.680877,26525.2240
Species,genus,91.331968,14.397933,23312.6067
AdministrativeRegion,populationTotal,71.651367,12.774495,12643.4830
AdministrativeRegion,name,70.546863,13.839019,9345.3351
Species,family,68.198864,9.804334,22953.7860
Species,familia,60.273141,9.129449,17344.4930
Species,order,56.411301,5.969906,47595.0666
ChemicalCompound,othernames,53.529476,12.266098,4448.9000
Species,ordo,52.902520,5.471873,47807.6592
AdministrativeRegion,name,52.676081,14.700529,2423.5663
ChemicalCompound,verifiedrevid,52.014785,12.753510,3528.7270
ChemicalCompound,iupacName,50.895775,12.947036,3091.8317
AdministrativeRegion,location,49.447769,8.531275,9628.1960
AdministrativeRegion,dist,49.288117,8.599794,9279.0781
AdministrativeRegion,longd,44.495562,6.778242,12586.8067
ChemicalCompound,imagefile,43.386360,12.998398,1613.4050
ChemicalCompound,iupacname,40.345946,9.490237,3100.0483
AdministrativeRegion,state,34.562463,4.827971,12680.1615
Star,propMoDec,33.983393,10.881415,1035.1679
Star,propMoRa,33.927435,10.883093,1027.8911
Star,parallax,33.012258,10.573058,1004.8450
Species,class,29.435827,3.722066,14559.7114
Star,class,29.405823,9.825431,788.2764
Star,appmagV,27.939125,10.357777,548.3421
Star,name,26.080691,11.333737,317.8023
AdministrativeRegion,label,22.616193,14.545508,85.0142
AdministrativeRegion,country,22.545391,3.603304,5522.4044
Species,label,22.180094,18.162706,40.3935
ChemicalCompound,imagesize,20.911185,3.505374,4439.2673
Galaxy,z,19.103888,9.083705,177.7043
Galaxy,names,18.204727,9.134168,144.1218
Species,regnum,16.293227,1.704216,14238.1893
Galaxy,appmagV,15.335743,7.169921,150.0639
Galaxy,type,14.952232,7.349149,125.9253
Star,constell,13.972738,6.066405,170.7387
ChemicalCompound,label,12.398395,13.277433,10.0953
Species,kingdom,11.555255,1.092953,13655.6970
Galaxy,constellationName,9.500731,5.302671,54.6442
Star,label,8.976568,11.449665,4.3258
Galaxy,name,7.550980,10.410695,2.8812
Galaxy,name,6.982855,9.379637,2.8812
Star,epoch,6.496634,1.766650,323.0739
Galaxy,epoch,2.035160,0.519697,122.2202
ChemicalCompound,watchedfields,0.328643,0.013369,4882.1829
ChemicalCompound,verifiedfields,0.205117,0.006953,5266.7860
Galaxy,type,0.000000,2.807355,0.0000
Galaxy,label,0.000000,9.430453,0.0000
ChemicalCompound,type,0.000000,2.321928,0.0000
AdministrativeRegion,type,0.000000,3.435623,0.0000
Star,type,0.000000,2.584963,0.0000
Person,type,0.000000,4.009349,0.0000
Species,type,0.000000,3.590281,0.0000
