class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Person,14.491526,5.670031,52022691,7241895,12370
AdministrativeRegion,12.589769,6.838609,945389,197167,2304
Species,11.835387,4.846551,8341372,1157215,1501
Star,11.251610,5.006241,69417,23032,250
ChemicalCompound,10.212592,3.511901,136727,51878,226
Galaxy,9.264584,3.686577,14091,5009,81
