class,predicate,distinct_objects,total_objects,uniqueness
Person,name,1979135,2371890,0.834413
Person,name,1856458,2046916,0.906954
Person,label,1270021,1270021,1.000000
Person,careerStation,890186,890186,1.000000
Species,label,293440,293440,1.000000
Species,synonym,227730,230944,0.986083
Species,binomial,214347,214595,0.998844
Person,description,192717,1188822,0.162108
Person,shortDescription,188166,1192306,0.157817
Species,species,179307,223103,0.803696
Person,placeOfBirth,171186,914965,0.187096
Person,caption,164828,176057,0.936220
Species,name,163538,165656,0.987214
Species,name,162900,165049,0.986980
Person,occupation,154934,312927,0.495112
Person,fullname,142936,145214,0.984313
Person,currentMember,141987,305576,0.464654
Person,birthPlace,140369,974909,0.143982
Person,termPeriod,128892,128892,1.000000
Person,alias,126837,130894,0.969005
Person,after,124296,178305,0.697098
Person,before,123068,178016,0.691331
Person,spouse,117177,142233,0.823838
Species,synonyms,109804,111127,0.988095
Person,dateOfBirth,104227,1029652,0.101225
Person,birthName,103153,103781,0.993949
Person,title,102539,321556,0.318884
Person,alternativeNames,101114,104138,0.970962
Person,birthDate,97780,875731,0.111655
Person,dateOfDeath,94802,478106,0.198287
Person,birthPlace,94168,1158164,0.081308
Person,deathDate,91847,367807,0.249715
Person,birthDate,88809,677462,0.131091
Person,predecessor,86881,115533,0.752002
Person,successor,79454,103979,0.764135
Person,occupation,77336,279090,0.277101
Species,genus,73853,277109,0.266512
Person,deathDate,73758,238965,0.308656
Person,placeOfDeath,67960,266353,0.255150
Person,birthName,67668,68021,0.994810
Person,successor,65319,84044,0.777200
Person,id,59413,65076,0.912979
Person,deathPlace,57707,251148,0.229773
Person,homepage,56313,57165,0.985096
Person,clubs,53496,630073,0.084904
Person,children,51375,80118,0.641242
Person,predecessor,50511,62462,0.808668
Species,binomialAuthority,47085,140425,0.335304
Person,website,44983,45922,0.979552
Person,knownFor,44936,52848,0.850288
Species,imageCaption,44625,52270,0.853740
Person,office,44401,86565,0.512921
Species,subdivision,43226,53581,0.806741
Person,deathPlace,39577,320732,0.123396
Person,associatedActs,39366,73198,0.537802
Person,office,39158,101448,0.385991
Person,team,35047,912060,0.038426
Person,associatedBand,34452,81973,0.420285
Person,associatedMusicalArtist,34444,81965,0.420228
Person,imdbId,31550,31630,0.997471
Person,spouse,31130,33824,0.920352
Species,genus,30886,212681,0.145222
Person,termStart,30470,144747,0.210505
