class,predicate,entropy_bits,values,distinct_values
Person,name,20.705696,2046916,1856458
Person,name,20.680877,2371890,1979135
Person,label,20.276421,1270021,1270021
Species,label,18.162706,293440,293440
Person,dateOfBirth,15.048103,1029652,104227
AdministrativeRegion,name,14.700529,34387,30334
AdministrativeRegion,label,14.545508,23913,23913
Species,genus,14.397933,277109,73853
AdministrativeRegion,name,13.839019,16092,15124
ChemicalCompound,label,13.277433,9929,9929
ChemicalCompound,imagefile,12.998398,11221,10246
ChemicalCompound,iupacName,12.947036,7918,7903
Person,birthPlace,12.796924,974909,140369
AdministrativeRegion,populationTotal,12.774495,9822,7957
ChemicalCompound,verifiedrevid,12.753510,7010,6943
Person,description,12.656964,1188822,192717
Person,shortDescription,12.638219,1192306,188166
ChemicalCompound,othernames,12.266098,9647,8074
Person,birthPlace,11.943045,1158164,94168
Star,label,11.449665,2797,2797
Star,name,11.333737,2599,2586
Star,propMoRa,10.883093,1980,1915
Star,propMoDec,10.881415,1972,1911
Star,parallax,10.573058,1991,1637
Galaxy,name,10.410695,1364,1362
Star,appmagV,10.357777,2522,1598
Star,class,9.825431,2233,1341
Species,family,9.804334,376170,10714
ChemicalCompound,iupacname,9.490237,7765,3922
Galaxy,label,9.430453,690,690
Galaxy,name,9.379637,692,682
Galaxy,names,9.134168,606,587
Species,familia,9.129449,281339,12622
Galaxy,z,9.083705,563,548
AdministrativeRegion,dist,8.599794,8030,1014
AdministrativeRegion,location,8.531275,8632,1787
Person,birthYear,7.804814,1047954,2297
Galaxy,type,7.349149,613,273
Galaxy,appmagV,7.169921,587,232
AdministrativeRegion,longd,6.778242,7561,943
Star,constell,6.066405,2681,111
Species,order,5.969906,335893,2166
Species,ordo,5.471873,258173,2652
Galaxy,constellationName,5.302671,652,82
AdministrativeRegion,state,4.827971,9573,125
Person,type,4.009349,16584761,194
Species,class,3.722066,296343,679
AdministrativeRegion,country,3.603304,19786,221
Species,type,3.590281,2139891,39
ChemicalCompound,imagesize,3.505374,6565,84
AdministrativeRegion,type,3.435623,246132,12
Galaxy,type,2.807355,4830,7
Star,type,2.584963,16800,6
ChemicalCompound,type,2.321928,49680,5
Star,epoch,1.766650,2601,53
Species,regnum,1.704216,283447,39
Species,kingdom,1.092953,284532,39
Galaxy,epoch,0.519697,599,7
ChemicalCompound,watchedfields,0.013369,5151,6
ChemicalCompound,verifiedfields,0.006953,3840,3
