entity,literal_properties,inforank
Desireé_Cousteau,3259,0.000001715000
Attilâ_İlhan,2610,0.000001373473
Olwen_Brogan,2578,0.000001356634
Eleni-Alexandra_Amburger_Q20800727,2574,0.000001354529
WSV_Ilmenau_Q55170822,2145,0.000001128774
Brigitte_Maier_Q536702,1738,0.000000914596
Thomas_Dempster,1514,0.000000796720
Poland,1449,0.000000762514
Ecuador,1429,0.000000751990
Kumagai_Q26000493,1380,0.000000726204
Shimai_Q27157286,1379,0.000000725678
Yukiyoshi,1328,0.000000698840
Karl_Jakob_Weber,1303,0.000000685684
Liselotte_Welskopf-Henrich,1299,0.000000683579
Conrad_M._Stibbe_Q1126891,1298,0.000000683053
Evelyn_Hartnick-Geismeier_Q1381751,1298,0.000000683053
Walter-Herwig_Schuchhardt,1297,0.000000682527
Mandy_Mystery_Q1889104,1292,0.000000679896
Elfriede_Knauer,1291,0.000000679369
United_States,1247,0.000000656215
Tomiduka_Q27264657,1240,0.000000652531
Switzerland,1209,0.000000636218
Amata_Q27242683,1178,0.000000619905
Kako_Q27168899,1178,0.000000619905
Friederike_Sinn_Q20871698,1147,0.000000603591
Basshunter,1144,0.000000602013
Jess_Wade,1130,0.000000594645
Gisela_Richter,1092,0.000000574649
Myles_Burnyeat,1092,0.000000574649
Arthur_Dale_Trendall,1091,0.000000574122
Sofía_Ugarriza_Q62752201,1085,0.000000570965
John_Manuel_Cook,1077,0.000000566755
SG_Nickelhütte_Aue_Q60540266,1075,0.000000565703
OOCL_Sweden_Q63372815,1072,0.000000564124
Arita_(surname),1061,0.000000558335
Takeda_Q18642402,1057,0.000000556230
Kanda_Q24091160,1055,0.000000555178
Ōshima_(surname),1055,0.000000555178
Oda_Q26155201,1054,0.000000554652
Nomura,1052,0.000000553599
Amano,1051,0.000000553073
Ichiki,1051,0.000000553073
Mizoguchi,1051,0.000000553073
Harada,1050,0.000000552547
Hirata_(surname),1050,0.000000552547
Fukada,1050,0.000000552547
Iijima,1050,0.000000552547
Natsume_Q3337058,1050,0.000000552547
Matsuyama_(surname),1050,0.000000552547
Nakagawa_(surname),1050,0.000000552547
