class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Person,20.644811,3.210535,180983829,88928916,38
Taxon,18.072849,2.049774,106300022,52992296,16
AdministrativeArea,16.396796,2.307533,78198513,28542676,30
Star,11.859960,1.657893,9702940,4263721,8
Galaxy,10.687035,1.905608,14341644,4266187,7
Chemical_compound,8.137059,1.357871,22842765,2673812,23
