class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Person,20.644811,3.210535,180983829,88928916,38
Human,20.642401,3.210649,180842678,88833973,35
Organization,19.465755,2.973331,45391408,25960416,39
Taxon,18.072849,2.049774,106300022,52992296,16
AdministrativeArea,16.396796,2.307533,78198513,28542676,30
Landform,16.316149,2.549364,51301072,19715253,32
GeoCoordinates,15.471223,1.584958,19066339,6613571,3
BioChemEntity,13.493500,2.476495,53613232,15561241,42
