class,population,share
Thing,66905417,0.91325195
CreativeWork,35894732,0.48995934
Article,32689220,0.44620444
ScholarlyArticle,32127570,0.43853797
Place,14252116,0.19453989
Person,6433965,0.08782295
Human,6422652,0.08766853
GeoCoordinates,6335654,0.08648102
BioChemEntity,3247696,0.04433071
Landform,3030004,0.04135924
Taxon,2726502,0.03721647
Organization,2144509,0.02927232
