class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Thing,16.519799,7.771315,178407344,25487110,43817
Species,13.856053,5.628720,70775502,9157134,9271
Eukaryote,13.844444,5.621840,70630593,9130474,9260
Q19088,13.844444,5.621840,70630593,9130474,9260
Q729,13.827821,5.609653,70365385,9078777,9143
Animal,13.827821,5.609653,70365385,9078777,9143
TimePeriod,7.997987,2.686166,13235000,493210,145
TimeInterval,7.997987,2.686166,13235000,493210,145
