class,predicate,distinct_objects,total_objects,uniqueness
AdministrativeRegion,catholics,2389,2759,0.865893
Person,stat1value,2374,23902,0.099322
Species,stat1value,2374,23902,0.099322
AdministrativeRegion,nameLocal,2373,2711,0.875323
Person,school,2369,8448,0.280421
Species,school,2369,8448,0.280421
AdministrativeRegion,t,2367,2465,0.960243
AdministrativeRegion,value,2367,5590,0.423435
AdministrativeRegion,elevation,2353,5072,0.463920
Person,serviceyears,2351,41731,0.056337
Species,serviceyears,2351,41731,0.056337
Person,movement,2344,10690,0.219270
Species,movement,2344,10690,0.219270
Person,enthroned,2334,2643,0.883087
Species,enthroned,2334,2643,0.883087
Species,f,2328,6741,0.345349
Person,stateOfOrigin,2323,49899,0.046554
Species,stateOfOrigin,2323,49899,0.046554
Person,citizenship,2317,23952,0.096735
Species,citizenship,2317,23952,0.096735
Species,d,2301,3482,0.660827
Person,d,2300,3481,0.660730
Person,father,2296,2458,0.934093
Species,father,2296,2458,0.934093
Species,data,2292,3342,0.685817
Person,data,2286,3335,0.685457
Person,academicAdvisor,2276,2696,0.844214
Species,academicAdvisor,2276,2696,0.844214
AdministrativeRegion,established,2263,3015,0.750580
AdministrativeRegion,namedFor,2258,3003,0.751915
Species,differentFrom,2254,2307,0.977026
AdministrativeRegion,conventionalLongName,2245,2312,0.971021
Person,activeYearsStartYear,2239,204076,0.010971
Species,activeYearsStartYear,2239,204076,0.010971
Species,video,2233,3572,0.625140
AdministrativeRegion,establishedDate,2233,5262,0.424363
Person,notableStudent,2232,2365,0.943763
Species,notableStudent,2232,2365,0.943763
Person,district,2231,37379,0.059686
Species,district,2231,37379,0.059686
Person,video,2229,3568,0.624720
Person,prevSeries,2224,8522,0.260972
Species,prevSeries,2224,8522,0.260972
Person,agent,2213,5747,0.385070
Species,agent,2213,5747,0.385070
Species,mmf,2209,3945,0.559949
Person,formerpartner,2207,2401,0.919200
Species,formerpartner,2207,2401,0.919200
Person,location,2192,3362,0.651993
Species,location,2192,3362,0.651993
Person,see,2181,4237,0.514751
Species,see,2181,4237,0.514751
Person,servicenumber,2179,2889,0.754240
Species,servicenumber,2179,2889,0.754240
Star,temperature,2179,3320,0.656325
Person,house,2170,11359,0.191038
Species,house,2170,11359,0.191038
Person,fideid,2160,2171,0.994933
Species,fideid,2160,2171,0.994933
Person,activeYearsEndYear,2149,95504,0.022502
Species,activeYearsEndYear,2149,95504,0.022502
Species,fm,2149,6664,0.322479
Person,ruAmateurclubs,2145,6185,0.346807
Species,ruAmateurclubs,2145,6185,0.346807
AdministrativeRegion,seatWl,2138,2836,0.753879
Person,profession,2130,16909,0.125968
Species,profession,2130,16909,0.125968
Person,hockeydb,2129,2142,0.993931
Species,hockeydb,2129,2142,0.993931
Species,foalDate,2106,2437,0.864177
Person,ruProclubs,2102,11969,0.175620
Species,ruProclubs,2102,11969,0.175620
Person,bowlname,2098,5080,0.412992
Species,bowlname,2098,5080,0.412992
Person,last,2095,4592,0.456228
Species,last,2095,4592,0.456228
Star,luminosity,2087,3153,0.661909
Star,appmagV,2070,5299,0.390640
Person,differentFrom,2054,2099,0.978561
AdministrativeRegion,county,2053,5426,0.378363
Person,notableIdea,2045,2405,0.850312
Species,notableIdea,2045,2405,0.850312
Person,buried,2040,3126,0.652591
Species,buried,2040,3126,0.652591
AdministrativeRegion,territory,2034,2678,0.759522
AdministrativeRegion,commonName,2025,2163,0.936200
Person,elite,2020,2031,0.994584
Species,elite,2020,2031,0.994584
Species,mfm,2012,3934,0.511439
Person,spouses,2010,2876,0.698887
Species,mmmf,2010,3694,0.544126
Species,spouses,2010,2876,0.698887
Person,militaryBranch,2001,31516,0.063492
Species,militaryBranch,2001,31516,0.063492
