class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Species,13.856053,5.628720,70775502,9157134,9271
Person,13.756046,5.476490,67468222,8705546,8892
AdministrativeRegion,13.506381,7.251997,2514117,479102,2861
Star,11.829714,5.031760,137476,43226,276
ChemicalCompound,11.022590,3.742562,190374,71460,377
Galaxy,10.079873,3.915094,43039,14506,116
