value,yago-4,yago-4.5.0.2,relative_change
classes,10103.000000,118303.000000,10.709690
avg_in_degree,4.751150,2.022787,-0.574253
triples,2489858800.000000,1305431407.000000,-0.475701
typed_entities,73260634.000000,49687891.000000,-0.321765
distinct_subjects,73260756.000000,49688174.000000,-0.321763
distinct_objects,524053974.000000,645362721.000000,0.231481
avg_out_degree,33.986256,26.272477,-0.226968
density_triples_per_entity,33.986312,26.272627,-0.226964
predicates,157.000000,123.000000,-0.216561
