value,yago-4,yago-4.5.0.2,relative_change
nodes/http://yago-knowledge.org/resource/Belgium/entropy_weighted,0.159627,2.240477,13.035741
nodes/http://yago-knowledge.org/resource/Freiburg_im_Breisgau/rank_unweighted,61.000000,851.000000,12.950820
nodes/http://yago-knowledge.org/resource/Czech_Republic/unweighted,0.170239,2.250080,12.217217
nodes/http://yago-knowledge.org/resource/Luxembourg/unweighted,0.170239,2.225438,12.072468
nodes/http://yago-knowledge.org/resource/Olwen_Brogan/rank_shift,51.000000,661.000000,11.960784
nodes/http://yago-knowledge.org/resource/Communist_Party_of_Germany/rank_shift,13.000000,168.000000,11.923077
nodes/http://yago-knowledge.org/resource/Chimborazo_Province/rank_weighted,91.000000,1170.000000,11.857143
nodes/http://yago-knowledge.org/resource/Giessen/rank_shift,20.000000,252.000000,11.600000
nodes/http://yago-knowledge.org/resource/Philip_II_of_Spain/rank_shift,27.000000,340.000000,11.592593
nodes/http://yago-knowledge.org/resource/Henry_VI_of_England/rank_shift,27.000000,337.000000,11.481481
nodes/http://yago-knowledge.org/resource/Socialist_Unity_Party_of_Germany/rank_shift,13.000000,161.000000,11.384615
nodes/http://yago-knowledge.org/resource/Paris/unweighted,0.948292,11.571458,11.202422
nodes/http://yago-knowledge.org/resource/Turkey/entropy_weighted,0.239672,2.893927,11.074556
nodes/http://yago-knowledge.org/resource/Hessischer_Städtetag_Q26882604/rank_shift,-19.000000,-225.000000,-10.842105
nodes/http://yago-knowledge.org/resource/Istanbul/unweighted,0.158500,1.814375,10.447160
nodes/http://yago-knowledge.org/resource/Chimborazo_Province/rank_unweighted,93.000000,1064.000000,10.440860
nodes/http://yago-knowledge.org/resource/Freiburg_im_Breisgau/rank_weighted,51.000000,557.000000,9.921569
nodes/http://yago-knowledge.org/resource/Republic_of_Ireland/entropy_weighted,0.159627,1.729275,9.833255
nodes/http://yago-knowledge.org/resource/University_of_Cambridge/rank_shift,9.000000,97.000000,9.777778
nodes/http://yago-knowledge.org/resource/Bulgaria/unweighted,0.170239,1.824117,9.715065
nodes/http://yago-knowledge.org/resource/Spain/unweighted,0.396768,4.193664,9.569563
nodes/http://yago-knowledge.org/resource/Netherlands/entropy_weighted,0.263711,2.771976,9.511431
nodes/http://yago-knowledge.org/resource/Lesser_Poland_Voivodeship/rank_shift,-4.000000,34.000000,9.500000
nodes/http://yago-knowledge.org/resource/City_of_Whittlesea/rank_shift,21.000000,219.000000,9.428571
nodes/http://yago-knowledge.org/resource/Legionowo_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Mińsk_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Otwock_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Piaseczno_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Pruszków_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Warsaw_West_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Wołomin_County/rank_shift,20.000000,205.000000,9.250000
nodes/http://yago-knowledge.org/resource/Austria/unweighted,0.652936,6.666545,9.210103
nodes/http://yago-knowledge.org/resource/Romania/unweighted,0.170239,1.704377,9.011701
nodes/http://yago-knowledge.org/resource/Bursa/rank_unweighted,157.000000,1562.000000,8.949045
nodes/http://yago-knowledge.org/resource/Pomeranian_Voivodeship/rank_unweighted,56.000000,553.000000,8.875000
nodes/http://yago-knowledge.org/resource/Cominform/rank_shift,17.000000,167.000000,8.823529
nodes/http://yago-knowledge.org/resource/University_of_Göttingen/rank_shift,-20.000000,151.000000,8.550000
nodes/http://yago-knowledge.org/resource/Royal_Netherlands_Academy_of_Arts_and_Sciences/rank_unweighted,109.000000,1036.000000,8.504587
nodes/http://yago-knowledge.org/resource/University_of_Cambridge/rank_unweighted,108.000000,1020.000000,8.444444
nodes/http://yago-knowledge.org/resource/Frederick_William_III_of_Prussia/rank_shift,12.000000,113.000000,8.416667
nodes/http://yago-knowledge.org/resource/Benelux/rank_shift,-44.000000,-412.000000,-8.363636
nodes/http://yago-knowledge.org/resource/University_of_Cambridge/rank_weighted,99.000000,923.000000,8.323232
nodes/http://yago-knowledge.org/resource/Kommunaler_Arbeitgeberverband_Berlin_Q1780343/rank_shift,-11.000000,80.000000,8.272727
nodes/http://yago-knowledge.org/resource/Royal_Society_of_Literature/rank_shift,24.000000,221.000000,8.208333
nodes/http://yago-knowledge.org/resource/Slovakia/unweighted,0.170239,1.549817,8.103796
nodes/http://yago-knowledge.org/resource/Goethe_University_Frankfurt/rank_shift,24.000000,218.000000,8.083333
nodes/http://yago-knowledge.org/resource/Lower_Silesian_Voivodeship/rank_unweighted,41.000000,371.000000,8.048780
nodes/http://yago-knowledge.org/resource/Greece/unweighted,0.203730,1.837634,8.019945
nodes/http://yago-knowledge.org/resource/Baden-Württemberg/rank_shift,-2.000000,-18.000000,-8.000000
nodes/http://yago-knowledge.org/resource/Raymond_Geuss/rank_shift,76.000000,674.000000,7.868421
nodes/http://yago-knowledge.org/resource/Myles_Burnyeat/rank_shift,53.000000,469.000000,7.849057
nodes/http://yago-knowledge.org/resource/Heda_Segvic_Q28099613/rank_shift,51.000000,451.000000,7.843137
nodes/http://yago-knowledge.org/resource/Frankfurt/unweighted,0.176926,1.560045,7.817489
nodes/http://yago-knowledge.org/resource/Aue-Bad_Schlema/rank_shift,-44.000000,298.000000,7.772727
nodes/http://yago-knowledge.org/resource/Aberdeenshire/rank_shift,55.000000,482.000000,7.763636
nodes/http://yago-knowledge.org/resource/Royal_Borough_of_Kensington_and_Chelsea/rank_unweighted,139.000000,1200.000000,7.633094
nodes/http://yago-knowledge.org/resource/Organization_of_the_Black_Sea_Economic_Cooperation/rank_shift,8.000000,-53.000000,-7.625000
nodes/http://yago-knowledge.org/resource/Hanover/rank_shift,9.000000,77.000000,7.555556
nodes/http://yago-knowledge.org/resource/Heidelberg_Academy_of_Sciences_and_Humanities/rank_shift,58.000000,491.000000,7.465517
nodes/http://yago-knowledge.org/resource/World_Meteorological_Organization/entropy_weighted,0.162580,1.372720,7.443356
nodes/http://yago-knowledge.org/resource/Bloomsbury/rank_shift,-57.000000,366.000000,7.421053
nodes/http://yago-knowledge.org/resource/Bursa/rank_weighted,150.000000,1252.000000,7.346667
nodes/http://yago-knowledge.org/resource/West_Pomeranian_Voivodeship/rank_unweighted,55.000000,454.000000,7.254545
nodes/http://yago-knowledge.org/resource/Germany/unweighted,4.056149,33.102113,7.160971
nodes/http://yago-knowledge.org/resource/Europe/rank_shift,36.000000,-221.000000,-7.138889
nodes/http://yago-knowledge.org/resource/Blandford_Forum/rank_shift,25.000000,197.000000,6.880000
nodes/http://yago-knowledge.org/resource/Paris/entropy_weighted,0.433600,3.411141,6.867029
nodes/http://yago-knowledge.org/resource/Royal_Netherlands_Academy_of_Arts_and_Sciences/rank_weighted,101.000000,787.000000,6.792079
nodes/http://yago-knowledge.org/resource/Hugh_Brogan/rank_shift,58.000000,450.000000,6.758621
nodes/http://yago-knowledge.org/resource/The_Hague/unweighted,0.512948,3.961519,6.723045
nodes/http://yago-knowledge.org/resource/Union_of_South_American_Nations/rank_shift,-11.000000,-83.000000,-6.545455
nodes/http://yago-knowledge.org/resource/Johanneum_Lüneburg_Q1698887/rank_shift,28.000000,211.000000,6.535714
nodes/http://yago-knowledge.org/resource/Silesian_Voivodeship/rank_unweighted,38.000000,285.000000,6.500000
nodes/http://yago-knowledge.org/resource/Latvia/unweighted,0.170239,1.246031,6.319325
nodes/http://yago-knowledge.org/resource/Bank_for_International_Settlements/rank_shift,-44.000000,-322.000000,-6.318182
nodes/http://yago-knowledge.org/resource/Ilmenau/rank_shift,41.000000,299.000000,6.292683
nodes/http://yago-knowledge.org/resource/London/unweighted,0.443288,3.189435,6.194943
nodes/http://yago-knowledge.org/resource/South_Cambridgeshire/rank_shift,-16.000000,-115.000000,-6.187500
nodes/http://yago-knowledge.org/resource/Germany/entropy_weighted,1.717360,12.206116,6.107487
nodes/http://yago-knowledge.org/resource/Pomeranian_Voivodeship/rank_weighted,58.000000,409.000000,6.051724
nodes/http://yago-knowledge.org/resource/Lower_Silesian_Voivodeship/rank_weighted,39.000000,275.000000,6.051282
nodes/http://yago-knowledge.org/resource/Finsterwalde/rank_shift,50.000000,352.000000,6.040000
nodes/http://yago-knowledge.org/resource/University_College_London/rank_weighted,188.000000,1322.000000,6.031915
nodes/http://yago-knowledge.org/resource/Silwood_Park/rank_shift,-12.000000,60.000000,6.000000
