class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Taxon,22.548438,1.598586,182756273,128513976,11
Star,22.107057,1.587705,107348052,72731197,15
Person,19.838700,3.185070,33211484,19222972,28
Galaxy,19.243434,1.414980,66913874,42125871,15
Politician,18.815849,2.784205,31700284,15860141,37
Researcher,14.766402,2.503665,21954934,9674567,37
Review_article,10.593685,0.891385,108186659,7679671,16
Chemical_compound,7.258742,0.609560,42245341,2653122,13
