value,dbpedia-2015,dbpedia-2022-matched,dbpedia-2025,relative_change
typed_entities,4995957.000000,7564288.000000,32853621.000000,5.576042
distinct_subjects,13735480.000000,20184478.000000,39196205.000000,1.853647
triples,169621442.000000,237155678.000000,347497387.000000,1.048664
density_triples_per_entity,33.951742,31.352016,10.577141,-0.688465
avg_in_degree,5.501950,5.449805,8.305778,0.509606
distinct_objects,30829333.000000,43516363.000000,41838031.000000,0.357085
avg_out_degree,12.349146,11.749409,8.865588,-0.282089
predicates,61824.000000,54691.000000,54933.000000,-0.111462
classes,740.000000,772.000000,771.000000,0.041892
