kind,change,term,triples_in_v2
predicate,removed,mbaId,
predicate,removed,mergedIntoParty,
predicate,removed,meshName,
predicate,removed,meshNumber,
predicate,removed,mgiid,
predicate,removed,minimumDischarge,
predicate,removed,mirDockings,
predicate,removed,mouthCountry,
predicate,removed,mouthRegion,
predicate,removed,musicalArtist,
predicate,removed,musicalBand,
predicate,removed,ndlId,
predicate,removed,nlaId,
predicate,removed,nssdcId,
predicate,removed,numberOfBronzeMedalsWon,
predicate,removed,numberOfCompetitors,
predicate,removed,numberOfFilms,
predicate,removed,numberOfGoldMedalsWon,
predicate,removed,numberOfIslands,
predicate,removed,numberOfOfficials,
predicate,removed,numberOfParticipatingAthletes,
predicate,removed,numberOfParticipatingNations,
predicate,removed,numberOfSilverMedalsWon,
predicate,removed,numberOfSports,
predicate,removed,nutsCode,
predicate,removed,oldcode,
predicate,removed,onChromosome,
predicate,removed,operatedBy,
predicate,removed,orcidId,
predicate,removed,originalEndPoint,
predicate,removed,originalMaximumBoatBeam,
predicate,removed,originalMaximumBoatLength,
predicate,removed,originalStartPoint,
predicate,removed,orogeny,
predicate,removed,orthologousGene,
predicate,removed,otherName,
predicate,removed,otherWins,
predicate,removed,pastMember,
predicate,removed,plant,
predicate,removed,publiclyAccessible,
predicate,removed,rankInFinalMedalCount,
predicate,removed,ratio,
predicate,removed,refseqmrna,
predicate,removed,refseqprotein,
predicate,removed,religiousHeadLabel,
predicate,removed,reopeningYear,
predicate,removed,review,
predicate,removed,rightChild,
predicate,removed,rightTributary,
predicate,removed,rival,
predicate,removed,rkdArtistsId,
predicate,removed,royalAnthem,
predicate,removed,salary,
predicate,removed,satScore,
predicate,removed,satellitesDeployed,
predicate,removed,schoolPatron,
predicate,removed,seasonNumber,
predicate,removed,selibrId,
predicate,removed,shareDate,
predicate,removed,shareOfAudience,
predicate,removed,shareSource,
predicate,removed,sheading,
predicate,removed,shoeNumber,
predicate,removed,show,
predicate,removed,sixthFormStudents,
predicate,removed,source,
predicate,removed,sourceConfluence,
predicate,removed,sourceConfluenceElevation,
predicate,removed,sourceConfluenceMountain,
predicate,removed,sourceConfluencePlace,
predicate,removed,sourceConfluenceRegion,
predicate,removed,sourceConfluenceState,
predicate,removed,sourceCountry,
predicate,removed,sourceElevation,
predicate,removed,sourceMountain,
predicate,removed,sourcePlace,
predicate,removed,sourceRegion,
predicate,removed,startPoint,
predicate,removed,storyEditor,
predicate,removed,sudocId,
predicate,removed,summerAppearances,
predicate,removed,teachingStaff,
predicate,removed,timeshiftChannel,
predicate,removed,trackNumber,
predicate,removed,tvComId,
predicate,removed,ulanId,
predicate,removed,viafId,
predicate,removed,vicePrincipal,
predicate,removed,vicePrincipalLabel,
predicate,removed,visitorsPerYear,
predicate,removed,voiceType,
predicate,removed,waistSize,
predicate,removed,widthQuote,
predicate,removed,winterAppearances,
predicate,removed,worstDefeat,
predicate,removed,!%3CImage,
predicate,removed,!%3CdivAlign,
predicate,removed,!Author,
predicate,removed,!LatestAppearance,
predicate,removed,!RHead,
predicate,removed,!SeeWikipediaWikiprojectAlbums%3EName,
predicate,removed,!bgcolor,
predicate,removed,!cApprox,
predicate,removed,!chair,
predicate,removed,!closed,
predicate,removed,!founder,
predicate,removed,!logo,
predicate,removed,!mottoPl,
predicate,removed,!name,
predicate,removed,!principalAndCeo,
predicate,removed,"$11,000,000Architect",
predicate,removed,$free,
predicate,removed,$freeLabel,
predicate,removed,$headName,
predicate,removed,%22authority%22_,
predicate,removed,%22commandVehicle%22_,
predicate,removed,%22fireRehab%22_,
predicate,removed,favicon.ico%22Developer,
predicate,removed,%22musicYourWay...everyday!%22Airdate,
predicate,removed,%22rec%22Founded,
predicate,removed,%231Qualifiers,
predicate,removed,%231Singles,
predicate,removed,%23CompanyLogo,
predicate,removed,%23FuelElements,
predicate,removed,%23OfBusinesses,
predicate,removed,%23OfInternationalStudents,
predicate,removed,%23OfPostgrads,
predicate,removed,%23OfStudents,
predicate,removed,%23OfUndergrads,
predicate,removed,%23OfYearsActive,
predicate,removed,%23Servifgs,
predicate,removed,%23Servings,
predicate,removed,%23_,
predicate,removed,%23denomination,
predicate,removed,%25FacultyWithAdvancedDegrees,
predicate,removed,%25StudentBodyOnFinancialAid,
predicate,removed,div%3EHeadquarters,
predicate,removed,gallery%3ECompanyType,
predicate,removed,gallery%3EDate,
predicate,removed,nowiki%3EXIsInMay)_,
predicate,removed,nowiki%3E_,
predicate,removed,small%3EHomepage,
predicate,removed,%3C1BildpfadKarte,
predicate,removed,%3CCompanySlogan,
predicate,removed,%3CImageIsNotOfVsoeImageFilename,
predicate,removed,%3CImageName,
predicate,removed,%3CInfraphylum,
predicate,removed,%3C_,
predicate,removed,%3Cbig%3E%3CspanStyle,
predicate,removed,%3Cbig%3Eclubname,
predicate,removed,%3Cbig%3EpictureFormat,
