class,churn,added,deleted,unchanged,triples_v1,triples_v2
Thing,3.258390,2170873,406155,384734,790890,2559568
Person,2.196095,595618,150457,189271,339728,784889
NaturalPerson,2.196095,595618,150457,189271,339728,784889
Person,2.196095,595618,150457,189271,339728,784889
Q215627,2.196095,595618,150457,189271,339728,784889
Person,2.196095,595618,150457,189271,339728,784889
Agent,0.962816,412185,328004,440771,768775,852956
Agent,0.962816,412185,328004,440771,768775,852956
