class,churn,added,deleted,unchanged,triples_v1,triples_v2
Thing,0.556568,153497,140757,387936,528694,541434
Agent,0.361871,55602,63585,265778,329363,321380
Agent,0.361871,55602,63585,265778,329363,321380
Person,0.280438,42816,34396,240930,275326,283746
NaturalPerson,0.280438,42816,34396,240930,275326,283746
Person,0.280438,42816,34396,240930,275326,283746
Q215627,0.280438,42816,34396,240930,275326,283746
Person,0.280438,42816,34396,240930,275326,283746
