class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Species,15.782804,5.432247,111976564,19824030,9298
Person,15.710292,5.327490,107519396,18938648,9430
AdministrativeArea,14.886348,6.674118,3923949,1053664,2889
ChemicalCompound,12.134040,3.849355,477542,161723,398
Star,11.337461,4.412741,302098,78886,289
Galaxy,10.742342,4.114525,87888,27672,128
