class,predicate,ent_etimp,entf_bits,etimp
Species,careerStation,293.224443,20.921385,807289.6763
Person,careerStation,292.789018,20.921385,802505.1950
Species,name,288.717385,20.283316,832673.7975
Person,name,287.330116,20.269624,818441.2589
Species,label,278.555389,20.616842,687036.5082
Person,label,278.152091,20.592800,685461.5657
Species,birthDate,246.068889,15.786865,931835.2823
Person,birthDate,244.507001,15.786870,908400.0098
Species,birthPlace,230.346200,14.240693,974834.3041
Person,birthPlace,229.014684,14.240698,952487.9785
Species,team,221.836132,13.330208,1022394.2028
Person,team,221.393197,13.330208,1014253.0577
Species,birthPlace,219.123878,12.919446,1069121.6440
Person,birthPlace,218.123384,12.919445,1049729.2937
Species,wikiPageUsesTemplate,141.360005,8.345312,687034.4832
Person,wikiPageUsesTemplate,141.057974,8.327914,685459.5531
Species,years,133.614741,6.881977,977862.5346
Person,years,133.365188,6.881886,970615.9197
AdministrativeRegion,populationTotal,93.298634,14.286211,25986.6316
AdministrativeRegion,thumbnail,91.920216,14.989350,21198.0407
AdministrativeRegion,name,90.504002,15.044248,19704.2400
AdministrativeRegion,subdivision,86.078066,12.341655,29204.5012
AdministrativeRegion,subdivisionName,79.673163,11.078866,29632.0885
ChemicalCompound,alternativeName,64.391287,13.895175,6407.9098
ChemicalCompound,verifiedrevid,62.258465,12.680601,7368.4164
AdministrativeRegion,label,61.501752,15.805568,3623.4281
ChemicalCompound,othernames,59.579130,12.525428,6412.0798
ChemicalCompound,iupacName,55.203212,13.753402,3569.6613
AdministrativeRegion,subdivisionType,49.289096,5.869010,29195.0241
ChemicalCompound,imagefile,48.033154,13.390727,2216.9298
ChemicalCompound,thumbnail,41.285337,13.651788,1141.8649
Star,mass,38.318357,9.472720,2536.3165
AdministrativeRegion,wikiPageUsesTemplate,37.857235,8.276092,3623.4281
AdministrativeRegion,country,35.615961,5.196300,11468.2216
Star,parallax,31.413117,12.297826,523.5511
Galaxy,z,30.209423,11.034450,619.8944
Star,appmagV,29.444600,10.065570,737.0679
Star,class,28.188552,10.297081,578.2940
Star,pError,27.410856,10.211023,530.2524
Galaxy,caption,25.731406,11.337534,300.8142
ChemicalCompound,imagesize,24.850183,3.766864,7134.7466
Galaxy,thumbnail,23.057023,11.359475,192.8138
Galaxy,name,21.858462,11.263782,159.7444
Galaxy,type,17.946143,8.293616,181.8246
ChemicalCompound,label,17.382055,13.818482,34.5958
Galaxy,label,14.968930,11.495855,33.0475
Star,label,14.545507,12.476240,23.0496
Star,constell,10.706926,6.219189,54.6333
Galaxy,constellationName,9.968316,5.352071,64.4053
ChemicalCompound,wikiPageUsesTemplate,9.287857,5.991647,34.5958
Galaxy,wikiPageUsesTemplate,8.658313,5.540275,33.0475
Star,wikiPageUsesTemplate,7.819079,5.453216,23.0496
Star,epoch,4.719149,1.943927,67.5173
Galaxy,epoch,3.180329,1.018175,96.9218
Galaxy,type,0.000000,2.807355,0.0000
Species,type,0.000000,4.396206,0.0000
AdministrativeRegion,type,0.000000,3.407609,0.0000
Star,type,0.000000,2.585800,0.0000
Person,type,0.000000,4.381457,0.0000
ChemicalCompound,type,0.000000,2.322748,0.0000
