class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Species,13.392874,5.246386,94056059,10823648,9197
Person,13.344497,5.193922,93035841,10679804,8898
AdministrativeRegion,13.095729,6.657936,3449329,575482,2888
Star,10.284287,4.029675,255099,48880,293
ChemicalCompound,10.052398,3.138485,393821,93161,396
Galaxy,9.492829,3.482924,88883,20481,121
