class,predicate,distinct_objects,total_objects,uniqueness
Species,honours,2099,3516,0.596985
Person,movement,2086,12236,0.170481
Species,movement,2086,12236,0.170481
AdministrativeRegion,largestCityWl,2080,2582,0.805577
Person,vicepresident,2069,2921,0.708319
Species,vicepresident,2069,2921,0.708319
AdministrativeRegion,bishop,2058,2311,0.890524
AdministrativeRegion,populationEst,2050,2069,0.990817
AdministrativeRegion,date,2044,6278,0.325581
Person,coachteams,2041,4264,0.478659
Species,coachteams,2041,4264,0.478659
Species,description,2039,2161,0.943545
Person,description,2038,2160,0.943519
Person,championships,2035,10417,0.195354
Species,championships,2035,10417,0.195354
ChemicalCompound,wikiPageUsesTemplate,2033,171867,0.011829
AdministrativeRegion,areaTotalSqMi,2030,3495,0.580830
AdministrativeRegion,county,2029,5433,0.373458
Person,archive,2016,2051,0.982935
Species,archive,2016,2051,0.982935
Star,absmagV,2011,3944,0.509888
AdministrativeRegion,foundingDate,2011,3522,0.570982
AdministrativeRegion,cathedral,2009,2209,0.909461
Species,w,2005,2412,0.831260
Person,w,2002,2409,0.831050
Person,deathYear,1999,168396,0.011871
Species,deathYear,1999,168396,0.011871
AdministrativeRegion,areaCode,1990,5059,0.393358
Star,pError,1988,5439,0.365508
Person,placeOfBurial,1978,2844,0.695499
Species,placeOfBurial,1978,2844,0.695499
AdministrativeRegion,imageShield,1975,2020,0.977723
Person,retired,1973,14863,0.132746
Species,retired,1973,14863,0.132746
Species,mmfm,1969,3947,0.498860
Person,bishop,1965,2006,0.979561
Species,bishop,1965,2006,0.979561
ChemicalCompound,imagealt,1948,2227,0.874719
Person,apprehended,1936,2283,0.848007
Person,lieutenant,1936,2280,0.849123
Species,apprehended,1936,2283,0.848007
Species,lieutenant,1936,2280,0.849123
AdministrativeRegion,populationDensityKm,1934,20270,0.095412
Person,significantProjects,1912,2022,0.945598
Species,significantProjects,1912,2022,0.945598
Species,typeStrain,1894,1922,0.985432
Star,thumbnail,1889,3490,0.541261
AdministrativeRegion,areaLandSqMi,1883,3325,0.566316
Person,debut,1874,4309,0.434904
Species,debut,1874,4309,0.434904
Star,component,1868,3543,0.527237
Person,militaryBranch,1866,35885,0.051999
Species,militaryBranch,1866,35885,0.051999
Species,fmm,1865,4248,0.439030
Species,mfmm,1861,3945,0.471736
Person,fightingOutOf,1853,4496,0.412144
Species,fightingOutOf,1853,4496,0.412144
Person,notableIdea,1842,2286,0.805774
Species,notableIdea,1842,2286,0.805774
Person,profession,1821,17864,0.101937
Species,profession,1821,17864,0.101937
Person,elected,1816,2231,0.813985
Species,elected,1816,2231,0.813985
Person,adminTeam,1815,4201,0.432040
Species,adminTeam,1815,4201,0.432040
Person,conviction,1808,7974,0.226737
Species,conviction,1808,7974,0.226737
Person,leader,1807,4913,0.367800
Species,leader,1807,4913,0.367800
AdministrativeRegion,city,1807,2039,0.886219
Person,stateOfOrigin,1805,44046,0.040980
Species,stateOfOrigin,1805,44046,0.040980
AdministrativeRegion,elevationM,1805,4298,0.419963
AdministrativeRegion,dist,1800,13042,0.138016
Galaxy,names,1772,1908,0.928721
Person,monarch,1768,17153,0.103072
Species,monarch,1768,17153,0.103072
Person,escutcheon,1764,2202,0.801090
Species,escutcheon,1764,2202,0.801090
Person,influencedBy,1763,4235,0.416293
Species,influencedBy,1763,4235,0.416293
AdministrativeRegion,capital,1754,2306,0.760624
AdministrativeRegion,julPrecipitationMm,1754,2971,0.590374
AdministrativeRegion,pushpinMapCaption,1754,6330,0.277093
Person,parliament,1744,12740,0.136892
Species,parliament,1744,12740,0.136892
Person,birthYear,1743,310325,0.005617
Species,birthYear,1743,310325,0.005617
Person,formerpartner,1736,1862,0.932331
Person,posthumousName,1736,2217,0.783040
Species,formerpartner,1736,1862,0.932331
Species,posthumousName,1736,2217,0.783040
Person,significantProject,1726,1913,0.902248
Species,significantProject,1726,1913,0.902248
Person,tournamentRecord,1721,3739,0.460283
Species,tournamentRecord,1721,3739,0.460283
Galaxy,hRadialV,1717,1982,0.866297
AdministrativeRegion,junPrecipitationMm,1713,2968,0.577156
Person,imageCaption,1706,1736,0.982719
Person,attend,1698,4039,0.420401
Species,attend,1698,4039,0.420401
AdministrativeRegion,postcode,1688,5732,0.294487
AdministrativeRegion,qid,1680,1728,0.972222
AdministrativeRegion,augPrecipitationMm,1678,2969,0.565173
AdministrativeRegion,latin,1664,1678,0.991657
Species,fmmm,1661,3947,0.420826
Star,simbad,1656,1691,0.979302
Person,competitions,1655,4096,0.404053
Species,competitions,1655,4096,0.404053
Species,sire,1649,4459,0.369814
Person,attendance,1641,1860,0.882258
Species,attendance,1641,1860,0.882258
Species,typeSpeciesAuthority,1634,2577,0.634071
AdministrativeRegion,imageCoa,1634,1656,0.986715
AdministrativeRegion,data,1626,1686,0.964413
Person,trainer,1624,5568,0.291667
Person,nobleFamily,1618,5123,0.315831
Species,nobleFamily,1618,5123,0.315831
Person,filename,1615,1679,0.961882
Species,filename,1615,1679,0.961882
AdministrativeRegion,established,1613,2010,0.802488
Person,sport,1611,88491,0.018205
Species,sport,1611,88491,0.018205
Person,nativeNameLang,1609,49901,0.032244
Species,nativeNameLang,1609,49901,0.032244
Person,practice,1602,1762,0.909194
Species,practice,1602,1762,0.909194
Person,apprehended,1599,1690,0.946154
Species,apprehended,1599,1690,0.946154
AdministrativeRegion,area,1594,1825,0.873425
AdministrativeRegion,area,1594,1825,0.873425
Person,consecrationDate,1589,1701,0.934156
Species,consecrationDate,1589,1701,0.934156
Star,radialV,1588,2133,0.744491
Person,bwfId,1587,2435,0.651745
Species,bwfId,1587,2435,0.651745
Person,organizations,1582,2729,0.579700
Species,organizations,1582,2729,0.579700
AdministrativeRegion,synonym,1572,1603,0.980661
AdministrativeRegion,imageMapCaption,1571,1790,0.877654
Person,afl,1565,1567,0.998724
Species,afl,1565,1567,0.998724
Person,ruClubupdate,1559,2706,0.576127
Species,ruClubupdate,1559,2706,0.576127
Person,careerHighlights,1553,2630,0.590494
Species,careerHighlights,1553,2630,0.590494
Star,radius,1552,3462,0.448296
Species,page,1533,3182,0.481772
Person,page,1532,3181,0.481610
Species,ff,1530,7114,0.215069
AdministrativeRegion,mayPrecipitationMm,1519,2968,0.511792
AdministrativeRegion,territory,1517,2047,0.741085
Person,mainInterest,1514,6939,0.218187
Species,mainInterest,1514,6936,0.218281
AdministrativeRegion,otherName,1507,1556,0.968509
AdministrativeRegion,areaCode,1503,4829,0.311245
Person,crest,1500,2022,0.741840
Species,crest,1500,2022,0.741840
Person,cfl,1497,1501,0.997335
Species,cfl,1497,1501,0.997335
Person,majorShrine,1496,1653,0.905021
Species,majorShrine,1496,1653,0.905021
Person,majorShrine,1493,2109,0.707918
Species,majorShrine,1493,2109,0.707918
Person,yahoo,1484,1485,0.999327
Species,yahoo,1484,1485,0.999327
Person,billed,1482,2675,0.554019
Species,billed,1482,2675,0.554019
Person,fec,1478,1485,0.995286
Species,fec,1478,1485,0.995286
Species,j,1477,1479,0.998648
Person,j,1472,1474,0.998643
Person,theywork,1472,1473,0.999321
Species,theywork,1472,1473,0.999321
