class,population,share
Image,14246647,0.43364008
Document,7456330,0.22695611
Thing,5899058,0.17955579
Concept,2554767,0.07776211
TimeInterval,2476237,0.07537181
TimePeriod,2476234,0.07537172
Species,2151923,0.06550033
Q19088,2148072,0.06538311
Eukaryote,2148065,0.06538290
Animal,2142969,0.06522779
Q729,2142966,0.06522770
Person,2125575,0.06469835
Q5,2125573,0.06469829
NaturalPerson,2125572,0.06469826
Q215627,2125572,0.06469826
Person,2125571,0.06469823
Person,2125569,0.06469817
CareerStation,2005948,0.06105714
SpatialThing,1341088,0.04082010
Place,771553,0.02348457
