entity,literal_properties,inforank
List_of_Chopped_episodes,4544,0.000063324884
List_of_Doraemon_episodes_(1979_anime),4369,0.000060886095
List_of_Intel_Xeon_microprocessors,3292,0.000045877094
"Constituency_election_results_in_the_United_Kingdom_general_election,_1929",3271,0.000045584440
List_of_Advanced_Dungeons_&_Dragons_2nd_edition_monsters,3234,0.000045068810
List_of_law_clerks_of_the_Supreme_Court_of_the_United_States,2885,0.000040205169
List_of_Horizon_episodes,2847,0.000039675604
List_of_Gunsmoke_television_episodes,2779,0.000038727960
List_of_State_Routes_in_Ohio,2740,0.000038184459
List_of_Humble_Bundles,2735,0.000038114779
"Constituency_election_results_in_the_United_Kingdom_general_election,_1923",2635,0.000036721186
Folktales_from_Japan,2584,0.000036010453
List_of_shipwrecks_in_1833,2580,0.000035954709
List_of_Nova_episodes,2508,0.000034951322
List_of_Maryland_state_highways,2391,0.000033320818
List_of_Prisoner_episodes,2322,0.000032359238
List_of_shipwrecks_in_1822,2305,0.000032122328
List_of_shipwrecks_in_1821,2281,0.000031787865
List_of_Debaters_radio_episodes,2276,0.000031718186
List_of_public_art_in_Israel,2274,0.000031690314
List_of_The_Nerdist_Podcast_episodes,2271,0.000031648506
List_of_colors_(compact),2180,0.000030380336
List_of_shipwrecks_in_1815,2176,0.000030324592
List_of_Game_Grumps_serials,2174,0.000030296720
List_of_shipwrecks_in_1819,2160,0.000030101617
List_of_multiplanetary_systems,2119,0.000029530244
2011_County_Championship,2108,0.000029376949
2015_County_Championship,2106,0.000029349077
List_of_shipwrecks_in_1817,2105,0.000029335141
"Results_of_the_Queensland_state_election,_2015",2100,0.000029265461
List_of_licensed_and_localized_editions_of_Monopoly:_Europe,2084,0.000029042486
List_of_shipwrecks_in_1834,2073,0.000028889191
Grade_I_listed_buildings_in_Wiltshire,2066,0.000028791639
2002_County_Championship,2065,0.000028777703
List_of_The_Woodwright's_Shop_episodes,2065,0.000028777703
List_of_shipwrecks_in_1818,2062,0.000028735896
2014_County_Championship,2059,0.000028694088
List_of_shipwrecks_in_1814,2047,0.000028526857
List_of_shipwrecks_in_1820,2038,0.000028401433
Grade_II*_listed_buildings_in_West_Sussex,2033,0.000028331754
"National_Register_of_Historic_Places_listings_in_Los_Angeles,_California",2028,0.000028262074
Grade_II*_listed_buildings_in_Wiltshire_(A–G),2024,0.000028206330
2013_County_Championship,1968,0.000027425918
Grade_II*_listed_buildings_in_Powys,1966,0.000027398046
List_of_Epic_Meal_Time_episodes,1961,0.000027328366
Grade_II*_listed_buildings_in_Northumberland,1951,0.000027189007
Grade_I_listed_buildings_in_Essex,1931,0.000026910288
Grade_II*_listed_buildings_in_Lancashire,1908,0.000026589762
List_of_Hamtaro_episodes,1902,0.000026506146
List_of_shipwrecks_in_1835,1894,0.000026394659
