class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Thing,15.277030,7.150081,111973659,17992583,49115
Q24229398,13.465324,5.488547,41031663,7165060,22128
Agent,13.465324,5.488547,41031663,7165060,22128
Agent,13.465324,5.488547,41031663,7165060,22128
Q215627,12.839732,4.993326,32716002,5322105,11257
Q5,12.839732,4.993326,32716002,5322105,11257
Person,12.839732,4.993326,32716002,5322105,11257
Person,12.839732,4.993326,32716002,5322105,11257
