class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
Person,12.839732,4.993326,32716002,5322105,11257
AdministrativeRegion,12.289428,6.721240,878639,205446,2373
Species,11.787132,4.057099,6283654,1340262,1133
Star,11.462921,5.038248,76701,25482,238
ChemicalCompound,9.958125,3.349958,130007,52890,226
Galaxy,8.987715,3.464140,16488,5899,85
