class,predicate,distinct_objects,total_objects,uniqueness
Person,name,992498,1322197,0.750643
Person,careerStation,977021,977021,1.000000
Person,label,921296,921296,1.000000
Species,label,306078,306078,1.000000
Species,synonym,235542,238707,0.986741
Species,binomial,225198,225447,0.998896
Species,species,187657,232137,0.808389
Person,caption,184792,196865,0.938674
Person,occupation,167645,334511,0.501164
Person,currentMember,151870,318670,0.476575
Person,termPeriod,148574,148574,1.000000
Species,name,146199,148164,0.986738
Person,birthPlace,96567,1007008,0.095895
Person,name,93477,112878,0.828124
Person,after,89524,119058,0.751936
Person,spouse,89335,108137,0.826128
Person,before,89286,118792,0.751616
Person,title,87491,244081,0.358451
Person,birthDate,79313,630023,0.125889
Person,birthName,78728,79134,0.994869
Person,successor,75664,96003,0.788142
Species,genus,67552,71720,0.941885
Person,deathDate,66188,196976,0.336021
Person,homepage,60643,61457,0.986755
Person,predecessor,58989,72283,0.816084
Person,office,51993,106710,0.487236
Person,team,51343,989904,0.051867
Species,imageCaption,46460,54371,0.854500
Person,predecessor,45948,60150,0.763890
Person,birthDate,45908,109448,0.419450
Species,subdivision,43227,53632,0.805993
Person,associatedBand,39244,89224,0.439837
Person,associatedMusicalArtist,39238,89218,0.439799
Person,birthPlace,38902,121097,0.321247
Person,deathPlace,36778,256662,0.143294
Person,children,35712,68016,0.525053
Person,spouse,35073,37781,0.928324
Person,knownFor,33802,46974,0.719590
Person,other,33431,60693,0.550821
Species,genus,32699,224428,0.145699
Person,givenName,31888,32202,0.990249
AdministrativeRegion,name,31594,35880,0.880546
Person,deathDate,30701,61004,0.503262
Species,binomialAuthority,30389,79570,0.381915
Person,alias,30162,30881,0.976717
Person,source,27240,30786,0.884818
Person,militaryCommand,26367,38957,0.676823
Person,imdbId,25420,25486,0.997410
Person,birthName,25304,25437,0.994771
AdministrativeRegion,label,24964,24964,1.000000
Species,genusAuthority,24863,54679,0.454708
Person,issue,23392,29707,0.787424
Person,occupation,23091,62181,0.371351
Person,deathPlace,22597,59258,0.381332
Person,id,22302,25441,0.876616
Person,orderInOffice,20492,46773,0.438116
Person,parents,20154,20815,0.968244
Person,youthclubs,19979,26674,0.749007
Person,parent,19716,29694,0.663973
Person,clubs,19002,34249,0.554819
Person,knownFor,16466,18870,0.872602
Person,successor,16158,23234,0.695446
Person,managerClub,15948,60995,0.261464
Person,highlights,15516,21633,0.717238
Person,residence,15477,69284,0.223385
Person,title,15352,24212,0.634066
Person,almaMater,14690,131512,0.111701
Person,award,14480,88284,0.164016
Person,activeYearsStartDate,14261,34423,0.414287
Person,teams,14020,25776,0.543917
Person,child,13940,15760,0.884518
Person,br,13635,13643,0.999414
Person,activeYearsEndDate,13492,28316,0.476480
Person,preceded,13182,15327,0.860051
Person,nick,12759,16860,0.756762
Species,typeSpecies,12605,12760,0.987853
Person,years,12490,243306,0.051335
Person,brm,12470,12487,0.998639
Person,succeeded,12138,14945,0.812178
Person,notableWorks,12074,14203,0.850102
Species,family,12013,397277,0.030238
Person,relative,11578,15834,0.731211
Species,binomialAuthority,11141,112343,0.099170
Person,votes,11081,13369,0.828858
Person,nativeName,10968,11028,0.994559
Person,nfl,10694,11634,0.919202
Person,club,10590,35357,0.299516
ChemicalCompound,imagefile,10455,11465,0.911906
Person,alt,10428,11223,0.929163
ChemicalCompound,label,10149,10149,1.000000
Person,recordLabel,9904,47885,0.206829
Person,influencedBy,9705,22089,0.439359
Person,region,9650,32392,0.297913
Person,team,8976,22316,0.402223
ChemicalCompound,othernames,8972,10830,0.828440
Person,hometown,8717,38591,0.225882
Person,awards,8631,14447,0.597425
Person,managerclubs,8421,15698,0.536438
Person,education,8342,25656,0.325148
Person,differentFrom,8318,8944,0.930009
Person,restingPlace,8241,24384,0.337968
Person,battle,8240,76231,0.108093
Person,candidate,8110,8970,0.904125
AdministrativeRegion,populationTotal,7981,9906,0.805673
Person,termStart,7773,64969,0.119642
Person,termEnd,7761,56230,0.138022
Person,relation,7644,9368,0.815969
Person,cube,7504,7508,0.999467
ChemicalCompound,iupacName,7480,7496,0.997866
Person,coachTeam,7437,29071,0.255822
Person,education,7387,10453,0.706687
Person,p,7375,7822,0.942853
