class,predicate,entropy_bits,values,distinct_values
Thing,label,21.668621,3333533,3333533
Thing,name,21.116399,3368640,2749581
Q24229398,label,20.202856,1206884,1206884
Agent,label,20.202856,1206884,1206884
Agent,label,20.202856,1206884,1206884
Q24229398,name,19.997804,1634786,1290603
Agent,name,19.997804,1634786,1290603
Agent,name,19.997804,1634786,1290603
Thing,careerStation,19.898030,977021,977021
Q24229398,careerStation,19.898030,977021,977021
Agent,careerStation,19.898030,977021,977021
Agent,careerStation,19.898030,977021,977021
Q215627,careerStation,19.898030,977021,977021
Q5,careerStation,19.898030,977021,977021
Person,careerStation,19.898030,977021,977021
Person,careerStation,19.898030,977021,977021
Q215627,label,19.813305,921296,921296
Q5,label,19.813305,921296,921296
Person,label,19.813305,921296,921296
Person,label,19.813305,921296,921296
Q215627,name,19.571977,1322197,992498
Q5,name,19.571977,1322197,992498
Person,name,19.571977,1322197,992498
Person,name,19.571977,1322197,992498
Thing,title,18.443650,1333230,730692
Q24229398,currentMember,16.694097,318768,151968
Agent,currentMember,16.694097,318768,151968
Agent,currentMember,16.694097,318768,151968
Q215627,currentMember,16.693165,318670,151870
Q5,currentMember,16.693165,318670,151870
Person,currentMember,16.693165,318670,151870
Person,currentMember,16.693165,318670,151870
Q215627,birthDate,15.510474,630023,79313
Q5,birthDate,15.510474,630023,79313
Person,birthDate,15.510474,630023,79313
Person,birthDate,15.510474,630023,79313
Q24229398,birthDate,15.510327,630317,79317
Agent,birthDate,15.510327,630317,79317
Agent,birthDate,15.510327,630317,79317
Q24229398,title,15.172953,260336,99094
Agent,title,15.172953,260336,99094
Agent,title,15.172953,260336,99094
Q215627,occupation,13.746557,334511,167645
Q5,occupation,13.746557,334511,167645
Person,occupation,13.746557,334511,167645
Person,occupation,13.746557,334511,167645
Q24229398,occupation,13.739088,335407,167718
Agent,occupation,13.739088,335407,167718
Agent,occupation,13.739088,335407,167718
Q24229398,team,13.419928,989925,51364
Agent,team,13.419928,989925,51364
Agent,team,13.419928,989925,51364
Q215627,team,13.419760,989904,51343
Q5,team,13.419760,989904,51343
Person,team,13.419760,989904,51343
Person,team,13.419760,989904,51343
Thing,team,13.367209,2007122,58508
Thing,isPartOf,12.649710,912054,44309
Q215627,birthPlace,12.270300,1007008,96567
Q5,birthPlace,12.270300,1007008,96567
Person,birthPlace,12.270300,1007008,96567
Person,birthPlace,12.270300,1007008,96567
Thing,birthPlace,12.270012,1007392,96575
Q24229398,birthPlace,12.270012,1007392,96575
Agent,birthPlace,12.270012,1007392,96575
Agent,birthPlace,12.270012,1007392,96575
Q215627,deathPlace,11.532354,256662,36778
Q5,deathPlace,11.532354,256662,36778
Person,deathPlace,11.532354,256662,36778
Person,deathPlace,11.532354,256662,36778
Thing,subdivisionType,6.152563,1320363,3604
Thing,type,6.037130,36404675,746
Thing,years,5.612590,927710,375
Q24229398,type,4.716633,18050065,320
Agent,type,4.716633,18050065,320
Agent,type,4.716633,18050065,320
Q215627,type,4.262378,14906137,206
Q5,type,4.262378,14906137,206
Person,type,4.262378,14906137,206
Person,type,4.262378,14906137,206
