class,population,share
Thing,5044223,1.00000000
Q24229398,1529882,0.30329389
Agent,1529882,0.30329389
Agent,1529882,0.30329389
Q215627,1243400,0.24649981
Q5,1243400,0.24649981
Person,1243400,0.24649981
Person,1243400,0.24649981
NaturalPerson,1243400,0.24649981
Person,1243400,0.24649981
TimePeriod,1127706,0.22356387
CareerStation,977023,0.19369148
Place,839987,0.16652456
Location,839987,0.16652456
Place,839987,0.16652456
PopulatedPlace,513642,0.10182777
Q386724,496070,0.09834419
Work,496070,0.09834419
CreativeWork,496070,0.09834419
Settlement,478906,0.09494148
