class,object_entropy_bits,predicate_entropy_bits,triples,distinct_objects,distinct_predicates
wordnet_administrative_district_108491826,19.403398,2.446222,6270893,3530091,38
wikicat_Living_people,17.832027,3.042479,13459219,4368834,46
wordnet_person_100007846,17.260950,3.110032,3949846,1640123,47
wikicat_Women,17.144264,2.800219,1788729,933526,43
wordnet_artist_109812338,16.800711,2.998605,1770889,888717,41
wikicat_Ethnic_German_people,16.274789,2.762799,2061784,879895,42
wordnet_album_106591815,15.626522,2.023719,1267724,520412,13
wordnet_movie_106613686,15.336677,2.071919,1479686,620944,15
