class,predicate,entropy_bits,values,distinct_values
wikicat_Living_people,label,21.355716,3292540,3018494
wordnet_administrative_district_108491826,label,21.176911,2974431,2653186
wordnet_person_100007846,label,19.844190,1056060,1000321
wikicat_Living_people,redirectedFrom,19.622025,806897,806897
wordnet_administrative_district_108491826,redirectedFrom,19.422627,702738,702738
wikicat_Living_people,prefLabel,19.349020,667909,667818
wikicat_Ethnic_German_people,label,19.053801,780681,668521
wikicat_Women,label,19.012302,635855,587932
wordnet_artist_109812338,label,18.931418,531966,515281
wordnet_movie_106613686,label,18.677536,450585,430595
wordnet_administrative_district_108491826,prefLabel,18.420114,350774,350762
wordnet_album_106591815,label,18.380848,386514,362177
wordnet_person_100007846,redirectedFrom,18.235664,308661,308661
wordnet_person_100007846,prefLabel,17.461024,180599,180472
wikicat_Women,redirectedFrom,17.411321,174313,174313
wordnet_movie_106613686,redirectedFrom,17.345371,166524,166524
wordnet_artist_109812338,redirectedFrom,17.238535,154638,154638
wikicat_Ethnic_German_people,prefLabel,17.067859,137451,137403
wordnet_album_106591815,redirectedFrom,16.928090,124699,124699
wordnet_album_106591815,prefLabel,16.827933,116683,116432
wikicat_Ethnic_German_people,redirectedFrom,16.722047,108103,108103
wordnet_movie_106613686,prefLabel,16.512770,93885,93611
wordnet_artist_109812338,prefLabel,16.372389,85034,84891
wikicat_Women,prefLabel,16.103754,70438,70427
wikicat_Living_people,hasFamilyName,15.849788,637358,223746
wordnet_artist_109812338,created,15.846548,84285,65932
wikicat_Women,hasFamilyName,15.057150,65945,46616
wordnet_person_100007846,hasFamilyName,14.985075,172038,79283
wikicat_Ethnic_German_people,hasFamilyName,14.814160,134057,60809
wordnet_person_100007846,actedIn,14.742142,109729,33139
wordnet_administrative_district_108491826,hasLongitude,14.739906,116003,57044
wordnet_artist_109812338,hasFamilyName,14.566845,68805,41419
wordnet_administrative_district_108491826,hasLatitude,14.364685,116003,49108
wordnet_person_100007846,wasBornOnDate,14.249651,161687,53490
wikicat_Women,created,14.172464,19718,18847
wikicat_Women,actedIn,14.040893,29821,19362
wordnet_person_100007846,diedOnDate,14.007151,85009,37059
wordnet_administrative_district_108491826,hasNumberOfPeople,13.835845,202386,56398
wordnet_administrative_district_108491826,hasArea,13.132198,67530,24892
wordnet_artist_109812338,wasBornOnDate,12.896528,56265,23283
wordnet_administrative_district_108491826,hasPopulationDensity,12.665870,39681,13575
wikicat_Living_people,type,12.646386,4627520,138883
wikicat_Living_people,isAffiliatedTo,12.470630,470315,22343
wikicat_Living_people,playsFor,12.206995,472603,15629
wordnet_artist_109812338,hasGivenName,12.193801,68260,19892
wordnet_movie_106613686,wasCreatedOnDate,12.066294,81444,21957
wikicat_Living_people,hasGivenName,12.011618,631182,62149
wikicat_Living_people,wasBornOnDate,11.966314,554860,30339
wordnet_person_100007846,hasGivenName,11.638155,169891,27866
wikicat_Women,hasGivenName,11.628219,65854,13124
wordnet_administrative_district_108491826,isLocatedIn,11.327427,762914,29005
wordnet_person_100007846,type,11.259455,1238667,75382
wikicat_Women,type,10.554604,529217,41779
wordnet_artist_109812338,type,10.345049,521210,33909
wordnet_album_106591815,wasCreatedOnDate,10.294673,115620,12468
wikicat_Women,wasBornOnDate,10.234121,66451,16769
wordnet_album_106591815,type,9.799073,522646,28891
wikicat_Ethnic_German_people,isAffiliatedTo,9.418392,12272,2277
wikicat_Ethnic_German_people,hasGivenName,9.372789,133951,8802
wordnet_movie_106613686,type,9.110472,637641,11895
wikicat_Ethnic_German_people,diedOnDate,8.751151,77341,5985
wikicat_Ethnic_German_people,wasBornOnDate,8.601206,132328,8752
wordnet_administrative_district_108491826,type,8.207618,863524,21881
wikicat_Ethnic_German_people,type,7.973996,479490,15236
wordnet_movie_106613686,wasDestroyedOnDate,7.677538,223,210
wordnet_movie_106613686,happenedOnDate,7.319734,431,225
wordnet_album_106591815,wasDestroyedOnDate,7.125367,141,140
wordnet_movie_106613686,hasDuration,6.688433,7192,301
wordnet_album_106591815,hasDuration,6.262599,150,87
wordnet_movie_106613686,hasPages,5.322076,53,43
wordnet_album_106591815,happenedOnDate,4.651084,29,26
wordnet_artist_109812338,hasMusicalRole,4.154022,29372,203
wordnet_movie_106613686,isLocatedIn,3.387173,41650,301
wordnet_album_106591815,hasPages,3.169925,9,9
wordnet_album_106591815,isLocatedIn,2.422428,1225,57
wordnet_person_100007846,hasGender,0.761659,165131,2
wordnet_artist_109812338,hasGender,0.754707,66212,2
wikicat_Living_people,hasGender,0.735058,604725,2
wikicat_Ethnic_German_people,hasGender,0.567901,22234,2
wikicat_Women,hasGender,0.051135,34204,2
