class,predicate,distinct_objects,total_objects,uniqueness
wikicat_Living_people,label,3018494,3292540,0.916768
wordnet_administrative_district_108491826,label,2653186,2974431,0.891998
wordnet_person_100007846,label,1000321,1056060,0.947220
wikicat_Living_people,redirectedFrom,806897,806897,1.000000
wordnet_administrative_district_108491826,redirectedFrom,702738,702738,1.000000
wikicat_Ethnic_German_people,label,668521,780681,0.856331
wikicat_Living_people,prefLabel,667818,667909,0.999864
wikicat_Women,label,587932,635855,0.924632
wordnet_artist_109812338,label,515281,531966,0.968635
wordnet_movie_106613686,label,430595,450585,0.955635
wordnet_album_106591815,label,362177,386514,0.937035
wordnet_administrative_district_108491826,prefLabel,350762,350774,0.999966
wordnet_person_100007846,redirectedFrom,308661,308661,1.000000
wikicat_Living_people,hasFamilyName,223746,637358,0.351052
wordnet_person_100007846,prefLabel,180472,180599,0.999297
wikicat_Women,redirectedFrom,174313,174313,1.000000
wordnet_movie_106613686,redirectedFrom,166524,166524,1.000000
wordnet_artist_109812338,redirectedFrom,154638,154638,1.000000
wikicat_Living_people,type,138883,4627520,0.030012
wikicat_Ethnic_German_people,prefLabel,137403,137451,0.999651
wordnet_album_106591815,redirectedFrom,124699,124699,1.000000
wordnet_album_106591815,prefLabel,116432,116683,0.997849
wikicat_Ethnic_German_people,redirectedFrom,108103,108103,1.000000
wordnet_movie_106613686,prefLabel,93611,93885,0.997082
wikicat_Living_people,created,88274,115241,0.765995
wordnet_artist_109812338,prefLabel,84891,85034,0.998318
wordnet_person_100007846,hasFamilyName,79283,172038,0.460846
wordnet_person_100007846,type,75382,1238667,0.060857
wikicat_Women,prefLabel,70427,70438,0.999844
wordnet_artist_109812338,created,65932,84285,0.782251
wikicat_Living_people,hasGivenName,62149,631182,0.098464
wikicat_Ethnic_German_people,hasFamilyName,60809,134057,0.453606
wordnet_administrative_district_108491826,hasLongitude,57044,116003,0.491746
wordnet_administrative_district_108491826,hasNumberOfPeople,56398,202386,0.278666
wordnet_person_100007846,wasBornOnDate,53490,161687,0.330824
wordnet_administrative_district_108491826,hasLatitude,49108,116003,0.423334
wikicat_Women,hasFamilyName,46616,65945,0.706892
wikicat_Women,type,41779,529217,0.078945
wordnet_artist_109812338,hasFamilyName,41419,68805,0.601977
wordnet_person_100007846,diedOnDate,37059,85009,0.435942
wordnet_person_100007846,created,35397,41984,0.843107
wordnet_artist_109812338,type,33909,521210,0.065058
wordnet_person_100007846,actedIn,33139,109729,0.302008
wordnet_administrative_district_108491826,hasWebsite,32957,34342,0.959670
wikicat_Living_people,hasWebsite,31310,32287,0.969740
wikicat_Living_people,wasBornOnDate,30339,554860,0.054679
wordnet_administrative_district_108491826,isLocatedIn,29005,762914,0.038019
wordnet_album_106591815,type,28891,522646,0.055278
wordnet_person_100007846,hasGivenName,27866,169891,0.164023
wikicat_Living_people,actedIn,25935,82429,0.314634
wordnet_person_100007846,directed,25906,27278,0.949703
wordnet_administrative_district_108491826,hasArea,24892,67530,0.368607
wordnet_artist_109812338,wasBornOnDate,23283,56265,0.413810
wikicat_Living_people,isAffiliatedTo,22343,470315,0.047506
wordnet_movie_106613686,wasCreatedOnDate,21957,81444,0.269596
wordnet_administrative_district_108491826,type,21881,863524,0.025339
wordnet_artist_109812338,hasWebsite,20823,21500,0.968512
wordnet_artist_109812338,hasGivenName,19892,68260,0.291415
wikicat_Women,actedIn,19362,29821,0.649274
wikicat_Women,created,18847,19718,0.955827
wikicat_Living_people,directed,17548,18351,0.956242
wikicat_Living_people,wasBornIn,16910,157792,0.107166
wikicat_Women,wasBornOnDate,16769,66451,0.252351
wikicat_Living_people,playsFor,15629,472603,0.033070
wikicat_Ethnic_German_people,type,15236,479490,0.031775
wordnet_administrative_district_108491826,hasPopulationDensity,13575,39681,0.342103
wikicat_Women,hasGivenName,13124,65854,0.199289
